gene	esoxID	cas	chr	start	end
110485090	ENSELUG00000024462	cas4	2	26683358	26726160
110485092	ENSELUG00000024579	cas2	2	26746971	26765817
110485098	ENSELUG00000005629	cas2	13	18174911	18202596
110485109	ENSELUG00000007849	cas1	13	22203012	22242594
110485145	ENSELUG00000001591	cas3	2	26897929	26903411
110485159	ENSELUG00000017520	cas2	13	36237911	36281974
110485161	ENSELUG00000018401	cas2	13	36857430	37073395
110485164	ENSELUG00000018543	cas3	13	37152429	37182020
110485166	ENSELUG00000019141	cas4	13	37628502	37631611
110485169	ENSELUG00000000839	cas5	13	37904093	37939039
110485171	ENSELUG00000021344	cas2	13	39993278	40050765
110485173	ENSELUG00000021530	cas2	13	40302533	40348028
110485175	ENSELUG00000024523	cas3	13	41132949	41250343
110485181	ENSELUG00000009285	cas2	13	43079791	43219400
110485183	ENSELUG00000009879	cas5	13	44222533	44224572
110485185	ENSELUG00000010543	cas2	13	44625249	44627425
110485188	ENSELUG00000011095	cas2	13	44878714	44943951
110485190	ENSELUG00000009953	cas3	13	45148564	45150974
110485191	ENSELUG00000001441	cas3	13	45194711	45195977
110485195	ENSELUG00000017963	cas2	13	46929503	47345934
110485203	ENSELUG00000019399	cas2	13	48623806	48665589
110485205	ENSELUG00000019773	cas2	13	48960905	49053966
110485210	ENSELUG00000023073	cas2	13	51010619	51230197
110485211	ENSELUG00000023839	cas6	13	51566960	51581205
110485215	ENSELUG00000024613	cas5	13	52048144	52091683
110485216	ENSELUG00000004264	cas2	13	52155640	52331576
110485219	ENSELUG00000004509	cas2	12	85427364	85452841
110485220	ENSELUG00000004553	cas2	12	85455313	85464098
110485222	ENSELUG00000004700	cas2	13	53093666	53107919
110485224	ENSELUG00000005274	cas2	2	27178987	27182559
110485226	ENSELUG00000005769	cas2	13	54272638	54300365
110485235	ENSELUG00000006646	cas5	13	55289150	55293431
110485236	ENSELUG00000006709	cas5	13	56035640	56088193
110485238	ENSELUG00000006865	cas2	13	55435136	55509918
110485244	ENSELUG00000007580	cas5	13	57112909	57129442
110485250	ENSELUG00000016737	cas2	13	58083262	58110194
110485252	ENSELUG00000016610	cas2	12	87813582	87846896
110485264	ENSELUG00000015616	cas2	12	88930216	88963678
110485269	ENSELUG00000015995	cas3	12	88694371	88717775
110485270	ENSELUG00000016052	cas4	12	88560843	88672771
110485272	ENSELUG00000015995	cas3	13	59270597	59288845
110485273	ENSELUG00000013709	cas2	12	92969151	93000050
110485274	ENSELUG00000013658	cas3	13	63419349	63421498
110485278	ENSELUG00000013572	cas2	12	93225594	93231639
110485279	ENSELUG00000013524	cas4	12	93312913	93318606
110485295	ENSELUG00000012240	cas2	13	68133252	68147557
110485307	ENSELUG00000014149	cas3	13	62330233	62361587
110485310	ENSELUG00000011048	cas2	13	70068170	70080888
110485311	ENSELUG00000010410	cas2	13	70044341	70063866
110485313	ENSELUG00000011048	cas2	12	97959753	97974748
110485321	ENSELUG00000012586	cas2	12	94713944	94786271
110485329	ENSELUG00000010100	cas2	13	69091454	69098600
110485337	ENSELUG00000023317	cas2	17	20382218	20391692
110485341	ENSELUG00000013566	cas7	13	3677684	3770907
110485343	ENSELUG00000021635	cas2	13	10682286	10694924
110485344	ENSELUG00000021659	cas2	13	10697026	10717367
110485345	ENSELUG00000021684	cas7	13	10717251	10731806
110485347	ENSELUG00000021759	cas3	17	18351829	18353534
110485357	ENSELUG00000013139	cas2	17	1077148	1124059
110485368	ENSELUG00000011568	cas3	17	8770569	8790115
110485390	ENSELUG00000012216	cas3	13	6429122	6450055
110485392	ENSELUG00000014445	cas2	17	11986355	11990911
110485426	ENSELUG00000012341	cas4	13	6600141	6649233
110485427	ENSELUG00000015607	cas4	17	10740240	10774225
110485432	ENSELUG00000015607	cas4	13	5756733	5783389
110485445	ENSELUG00000015427	cas2	13	5278946	5280863
110485446	ENSELUG00000016310	cas7	13	4098921	4114272
110485448	ENSELUG00000016310	cas7	17	12531105	12547254
110485463	ENSELUG00000017599	cas2	17	14000467	14013148
110485465	ENSELUG00000017599	cas2	17	12971060	12983708
110485466	ENSELUG00000005378	cas2	2	27288172	27303644
110485483	ENSELUG00000005433	cas2	2	27308514	27317719
110485487	ENSELUG00000018102	cas6	17	13178991	13180762
110485488	ENSELUG00000018102	cas6	17	14188563	14190302
110485489	ENSELUG00000018189	cas2	17	13222056	13254849
110485492	ENSELUG00000018256	cas5	17	13286956	13300529
110485493	ENSELUG00000018256	cas5	17	14275862	14289159
110485494	ENSELUG00000018223	cas2	17	13280562	13286294
110485496	ENSELUG00000018282	cas7	17	13303807	13339705
110485498	ENSELUG00000018282	cas7	17	14293700	14343967
110485500	ENSELUG00000005471	cas2	2	27321550	27331169
110485502	ENSELUG00000019136	cas2	13	7237567	7280710
110485504	ENSELUG00000018605	cas2	17	14507026	14531247
110485508	ENSELUG00000018785	cas2	17	13628154	13644563
110485509	ENSELUG00000018771	cas2	17	14627727	14647511
110485510	ENSELUG00000018726	cas2	17	13591039	13607295
110485511	ENSELUG00000018726	cas2	17	14601798	14627673
110485512	ENSELUG00000018623	cas4	17	13559708	13569844
110485518	ENSELUG00000023580	cas2	13	12887305	12891079
110485528	ENSELUG00000005621	cas2	2	27403665	27408989
110485532	ENSELUG00000022564	cas2	13	11722201	11723727
110485533	ENSELUG00000022564	cas2	17	19342084	19343598
110485537	ENSELUG00000022545	cas2	13	11706574	11712335
110485538	ENSELUG00000022545	cas2	17	19327672	19333234
110485541	ENSELUG00000022639	cas5	17	19524837	19539688
110485543	ENSELUG00000005605	cas2	2	27390590	27403425
110485547	ENSELUG00000022266	cas5	13	11515558	11536902
110485548	ENSELUG00000001625	cas5	13	11496517	11505553
110485550	ENSELUG00000022208	cas3	13	11434632	11446652
110485551	ENSELUG00000002944	cas3	1	13785727	14089464
110485553	ENSELUG00000001555	cas3	17	19029078	19032742
110485554	ENSELUG00000001555	cas3	13	11425756	11429422
110485557	ENSELUG00000020469	cas2	13	9520385	9539256
110485558	ENSELUG00000022191	cas2	13	11323643	11359141
110485559	ENSELUG00000022158	cas2	17	18785401	18797655
110485561	ENSELUG00000022179	cas2	17	18834551	18906677
110485562	ENSELUG00000022179	cas2	13	11216669	11273353
110485567	ENSELUG00000021972	cas2	17	18729226	18734603
110485568	ENSELUG00000021972	cas2	13	11123005	11128254
110485570	ENSELUG00000021948	cas3	13	11115135	11116092
110485576	ENSELUG00000021612	cas2	13	8165370	8168323
110485578	ENSELUG00000021605	cas2	13	8180481	8201020
110485582	ENSELUG00000000939	cas2	13	8225298	8262940
110485583	ENSELUG00000021480	cas3	13	8265675	8269690
110485584	ENSELUG00000021480	cas3	17	15936712	15938552
110485597	ENSELUG00000020502	cas5	13	9356000	9385805
110485598	ENSELUG00000020521	cas2	13	9275802	9351916
110485601	ENSELUG00000020053	cas2	17	17713823	17718539
110485602	ENSELUG00000020035	cas2	13	10097947	10102555
110485608	ENSELUG00000019716	cas5	17	18244091	18252194
110485610	ENSELUG00000019626	cas3	13	8058941	8080347
110485612	ENSELUG00000000862	cas2	13	8007814	8032920
110485613	ENSELUG00000019575	cas2	17	15627548	15704265
110485616	ENSELUG00000019549	cas5	13	7762808	7888031
110485617	ENSELUG00000022652	cas2	13	11906902	11938426
110485623	ENSELUG00000023017	cas3	17	20026043	20057092
110485625	ENSELUG00000023041	cas2	17	20061147	20063632
110485631	ENSELUG00000023164	cas3	13	12596679	12604498
110485632	ENSELUG00000023164	cas3	17	20260680	20270445
110485635	ENSELUG00000023242	cas2	17	20329640	20354129
110485636	ENSELUG00000023242	cas2	13	12660627	12684896
110485637	ENSELUG00000023317	cas2	13	12711684	12720418
110485639	ENSELUG00000023282	cas2	13	12697402	12703970
110485640	ENSELUG00000023282	cas2	17	20366308	20372836
110485641	ENSELUG00000023292	cas2	17	20373129	20375553
110485642	ENSELUG00000023292	cas2	13	12704380	12706636
110485643	ENSELUG00000023585	cas2	13	12900622	12904681
110485644	ENSELUG00000005828	cas3	2	27678308	27825113
110485645	ENSELUG00000023585	cas2	17	20567409	20571074
110485646	ENSELUG00000023645	cas2	17	20577653	20731967
110485647	ENSELUG00000023645	cas2	13	12908762	13083882
110485650	ENSELUG00000023690	cas2	13	13154136	13161168
110485651	ENSELUG00000023690	cas2	17	20797345	20804443
110485654	ENSELUG00000023722	cas3	17	20807097	20825381
110485655	ENSELUG00000023722	cas3	13	13163816	13178960
110485663	ENSELUG00000006120	cas2	2	27933389	28149975
110485665	ENSELUG00000023825	cas5	13	13265329	13294154
110485675	ENSELUG00000024309	cas2	17	21195654	21211664
110485676	ENSELUG00000024173	cas2	17	21138465	21162866
110485677	ENSELUG00000024173	cas2	13	13471224	13494372
110485678	ENSELUG00000024001	cas2	13	13439698	13458698
110485683	ENSELUG00000024325	cas2	13	13544642	13550664
110485686	ENSELUG00000024187	cas2	13	13519344	13524700
110485687	ENSELUG00000024309	cas2	13	13525979	13542068
110485689	ENSELUG00000002877	cas2	13	13753096	13762248
110485690	ENSELUG00000002872	cas2	13	13728512	13733700
110485691	ENSELUG00000001627	cas2	13	13699062	13724443
110485692	ENSELUG00000002861	cas2	13	13722821	13726634
110485694	ENSELUG00000024528	cas2	13	13674650	13681639
110485696	ENSELUG00000024468	cas2	13	13657453	13665295
110485698	ENSELUG00000024368	cas2	13	13600728	13614083
110485700	ENSELUG00000002946	cas2	13	13783518	13789038
110485703	ENSELUG00000002959	cas2	13	13789692	13803414
110485704	ENSELUG00000003039	cas2	13	13798753	13812069
110485706	ENSELUG00000002977	cas3	13	13813935	13819821
110485708	ENSELUG00000003023	cas2	13	13896731	13957622
110485710	ENSELUG00000003050	cas2	13	13962701	14089440
110485711	ENSELUG00000003076	cas2	13	14105067	14112666
110485713	ENSELUG00000003090	cas2	13	14112526	14116588
110485714	ENSELUG00000003100	cas3	13	14125150	14136711
110485715	ENSELUG00000000102	cas6	13	14137544	14175896
110485716	ENSELUG00000003151	cas3	13	14194310	14197459
110485719	ENSELUG00000003163	cas2	13	14284446	14287857
110485721	ENSELUG00000003172	cas2	13	14298243	14299604
110485724	ENSELUG00000004143	cas2	13	14308149	14314328
110485725	ENSELUG00000004115	cas3	13	14314608	14337392
110485727	ENSELUG00000003962	cas2	13	14362074	14369806
110485730	ENSELUG00000003859	cas2	13	14415041	14418756
110485731	ENSELUG00000003699	cas5	13	14488705	14498369
110485732	ENSELUG00000003667	cas3	13	14498997	14504273
110485734	ENSELUG00000001340	cas2	13	15066339	15118803
110485736	ENSELUG00000003444	cas5	13	14895830	14911145
110485737	ENSELUG00000003411	cas2	13	14911321	14946852
110485738	ENSELUG00000003489	cas4	13	14843540	14875152
110485739	ENSELUG00000003371	cas3	13	15245556	15267949
110485741	ENSELUG00000003254	cas2	13	15370390	15373541
110485742	ENSELUG00000003271	cas5	13	15367947	15370391
110485743	ENSELUG00000006452	cas2	2	28297202	28318817
110485744	ENSELUG00000003246	cas4	13	15376146	15383913
110485745	ENSELUG00000003222	cas2	13	15395301	15399275
110485752	ENSELUG00000004222	cas5	13	15454918	15456274
110485753	ENSELUG00000006492	cas2	2	28335510	28338650
110485754	ENSELUG00000004266	cas2	13	15519408	15525635
110485755	ENSELUG00000004308	cas7	13	15528003	15560385
110485756	ENSELUG00000004339	cas2	13	15567183	15632814
110485757	ENSELUG00000004368	cas2	13	15636962	15644361
110485758	ENSELUG00000004387	cas2	13	15646115	15663808
110485763	ENSELUG00000004508	cas2	13	15679762	15685132
110485764	ENSELUG00000004537	cas2	13	15742873	15769569
110485765	ENSELUG00000004561	cas2	13	15820474	15823466
110485767	ENSELUG00000004599	cas3	13	15844958	15852794
110485768	ENSELUG00000004764	cas2	13	15965856	16104020
110485772	ENSELUG00000006479	cas2	2	28331733	28334614
110485774	ENSELUG00000004895	cas2	13	16147770	16196975
110485792	ENSELUG00000005544	cas2	13	18069766	18076476
110485794	ENSELUG00000005551	cas2	13	18122169	18124885
110485796	ENSELUG00000000160	cas3	13	18203617	18218025
110485797	ENSELUG00000005781	cas2	13	18225172	18235534
110485803	ENSELUG00000005950	cas2	13	18372254	18411379
110485805	ENSELUG00000006104	cas2	13	18569500	18617857
110485807	ENSELUG00000006124	cas5	13	18619076	18623922
110485808	ENSELUG00000006165	cas5	13	18632052	18645428
110485813	ENSELUG00000006289	cas2	13	18852294	18854752
110485823	ENSELUG00000007167	cas2	13	19258659	19265560
110485824	ENSELUG00000007113	cas3	13	19277856	19332968
110485827	ENSELUG00000006554	cas2	13	19379408	19387327
110485835	ENSELUG00000006705	cas2	13	19495692	19584664
110485837	ENSELUG00000006729	cas2	13	19584801	19590924
110485870	ENSELUG00000010735	cas2	13	20230951	20250027
110485879	ENSELUG00000007000	cas3	2	28706863	28714039
110485881	ENSELUG00000010463	cas2	13	20294883	20298597
110485888	ENSELUG00000007016	cas3	2	28715392	28718511
